#	 ( mouse pet )	 ( abby pet )	#
|	 ( pumpkin dog )	 ( pumpkin kitten )	=
>	 ( oona spotted )	 ( oona puppy )	=
>	 ( mouse dog )	 ( mouse puppy )	=
|	 ( pumpkin pony )	 ( pumpkin puppy )	=
#	 ( abby pet )	 ( abby kitten )	=
#	 ( ollie pet )	 ( pumpkin pet )	#
#	 ( mertz dog )	 ( mertz spotted )	=
|	 ( ollie kitten )	 ( ollie puppy )	=
#	 ( millie striped )	 ( millie pony )	=
#	 ( abby striped )	 ( abby dog )	=
=	 ( abby puppy )	 ( abby puppy )	=
#	 ( pumpkin striped )	 ( marcel spotted )	#
#	 ( abby striped )	 ( pumpkin striped )	#
|	 ( oona kitten )	 ( oona dog )	=
#	 ( millie spotted )	 ( mouse spotted )	#
#	 ( millie striped )	 ( mouse striped )	#
=	 ( mertz pet )	 ( mertz pet )	=
#	 ( marcel dog )	 ( marcel pet )	=
|	 ( pumpkin cat )	 ( pumpkin dog )	=
|	 ( abby kitten )	 ( abby spotted )	=
^	 ( ollie spotted )	 ( ollie striped )	=
#	 ( millie cat )	 ( ollie cat )	#
|	 ( mouse puppy )	 ( mouse kitten )	=
#	 ( mertz pet )	 ( ollie pet )	#
|	 ( ollie cat )	 ( ollie pony )	=
#	 ( marcel pet )	 ( marcel kitten )	=
>	 ( mouse cat )	 ( mouse kitten )	=
|	 ( marcel cat )	 ( marcel dog )	=
|	 ( ollie dog )	 ( ollie kitten )	=
|	 ( mouse kitten )	 ( mouse spotted )	=
#	 ( ollie striped )	 ( abby striped )	#
#	 ( pumpkin dog )	 ( pumpkin pet )	=
|	 ( oona puppy )	 ( oona kitten )	=
|	 ( oona kitten )	 ( oona spotted )	=
|	 ( millie kitten )	 ( millie pony )	=
#	 ( mertz dog )	 ( oona dog )	#
#	 ( pumpkin puppy )	 ( oona puppy )	#
#	 ( pumpkin kitten )	 ( abby kitten )	#
#	 ( abby striped )	 ( millie spotted )	#
#	 ( millie dog )	 ( millie pet )	=
#	 ( pumpkin pony )	 ( pumpkin spotted )	=
#	 ( abby cat )	 ( ollie cat )	#
#	 ( millie puppy )	 ( ollie puppy )	#
=	 ( mertz spotted )	 ( mertz spotted )	=
>	 ( mertz spotted )	 ( mertz puppy )	=
=	 ( pumpkin cat )	 ( pumpkin cat )	=
#	 ( mouse spotted )	 ( mouse cat )	=
=	 ( millie pony )	 ( millie pony )	=
|	 ( mertz spotted )	 ( mertz kitten )	=
#	 ( ollie spotted )	 ( mouse spotted )	#
#	 ( mertz pet )	 ( mouse pet )	#
#	 ( mertz cat )	 ( mouse cat )	#
#	 ( pumpkin kitten )	 ( oona kitten )	#
#	 ( abby spotted )	 ( millie striped )	#
#	 ( mertz cat )	 ( mertz striped )	=
#	 ( oona puppy )	 ( pumpkin puppy )	#
<	 ( abby puppy )	 ( abby dog )	=
#	 ( mouse spotted )	 ( marcel striped )	#
#	 ( ollie striped )	 ( millie spotted )	#
=	 ( ollie pet )	 ( ollie pet )	=
#	 ( abby spotted )	 ( oona striped )	#
#	 ( millie spotted )	 ( ollie striped )	#
#	 ( pumpkin striped )	 ( mertz striped )	#
#	 ( oona spotted )	 ( pumpkin spotted )	#
#	 ( mouse spotted )	 ( ollie spotted )	#
=	 ( mouse pet )	 ( mouse pet )	=
|	 ( mertz cat )	 ( mertz dog )	=
#	 ( abby pet )	 ( ollie pet )	#
#	 ( mouse cat )	 ( millie cat )	#
#	 ( pumpkin striped )	 ( marcel striped )	#
|	 ( oona striped )	 ( oona puppy )	=
#	 ( ollie puppy )	 ( marcel puppy )	#
#	 ( marcel spotted )	 ( ollie spotted )	#
|	 ( abby puppy )	 ( abby striped )	=
#	 ( oona pet )	 ( oona puppy )	=
#	 ( mertz spotted )	 ( millie spotted )	#
#	 ( pumpkin spotted )	 ( mertz spotted )	#
|	 ( abby puppy )	 ( abby kitten )	=
#	 ( mouse kitten )	 ( abby kitten )	#
|	 ( pumpkin pony )	 ( pumpkin dog )	=
>	 ( oona dog )	 ( oona puppy )	=
#	 ( mouse striped )	 ( marcel spotted )	#
^	 ( millie striped )	 ( millie spotted )	=
#	 ( marcel striped )	 ( marcel pet )	=
#	 ( pumpkin cat )	 ( marcel cat )	#
#	 ( oona dog )	 ( pumpkin dog )	#
|	 ( abby spotted )	 ( abby kitten )	=
#	 ( millie cat )	 ( pumpkin cat )	#
#	 ( abby spotted )	 ( ollie spotted )	#
|	 ( marcel kitten )	 ( marcel pony )	=
#	 ( abby dog )	 ( oona dog )	#
#	 ( ollie pet )	 ( oona pet )	#
#	 ( marcel spotted )	 ( marcel cat )	=
^	 ( marcel striped )	 ( marcel spotted )	=
#	 ( pumpkin spotted )	 ( abby striped )	#
|	 ( ollie pony )	 ( ollie cat )	=
#	 ( ollie pony )	 ( ollie striped )	=
#	 ( mouse spotted )	 ( abby spotted )	#
#	 ( mouse cat )	 ( ollie cat )	#
#	 ( mouse pony )	 ( ollie pony )	#
#	 ( ollie pet )	 ( ollie kitten )	=
#	 ( oona pet )	 ( oona dog )	=
#	 ( mouse pet )	 ( pumpkin pet )	#
#	 ( millie puppy )	 ( mouse puppy )	#
#	 ( ollie cat )	 ( oona cat )	#
|	 ( mouse kitten )	 ( mouse puppy )	=
<	 ( oona kitten )	 ( oona striped )	=
|	 ( oona pony )	 ( oona cat )	=
#	 ( mertz spotted )	 ( pumpkin spotted )	#
^	 ( marcel spotted )	 ( marcel striped )	=
|	 ( mertz kitten )	 ( mertz pony )	=
#	 ( millie pony )	 ( oona pony )	#
#	 ( abby striped )	 ( oona spotted )	#
#	 ( oona dog )	 ( abby dog )	#
>	 ( pumpkin striped )	 ( pumpkin kitten )	=
#	 ( mertz pet )	 ( abby pet )	#
=	 ( oona dog )	 ( oona dog )	=
#	 ( pumpkin puppy )	 ( mertz puppy )	#
#	 ( millie striped )	 ( abby spotted )	#
#	 ( pumpkin spotted )	 ( abby spotted )	#
=	 ( millie spotted )	 ( millie spotted )	=
#	 ( pumpkin spotted )	 ( oona striped )	#
#	 ( oona spotted )	 ( marcel striped )	#
#	 ( pumpkin puppy )	 ( ollie puppy )	#
=	 ( oona spotted )	 ( oona spotted )	=
#	 ( abby spotted )	 ( mertz striped )	#
=	 ( pumpkin pet )	 ( pumpkin pet )	=
#	 ( mertz cat )	 ( mertz pet )	=
#	 ( marcel puppy )	 ( abby puppy )	#
<	 ( ollie kitten )	 ( ollie striped )	=
=	 ( marcel pony )	 ( marcel pony )	=
#	 ( oona dog )	 ( marcel dog )	#
|	 ( abby kitten )	 ( abby dog )	=
<	 ( mouse kitten )	 ( mouse striped )	=
#	 ( ollie cat )	 ( pumpkin cat )	#
#	 ( ollie dog )	 ( ollie striped )	=
#	 ( oona pony )	 ( millie pony )	#
#	 ( ollie puppy )	 ( pumpkin puppy )	#
#	 ( marcel striped )	 ( abby striped )	#
|	 ( millie puppy )	 ( millie striped )	=
>	 ( marcel spotted )	 ( marcel puppy )	=
^	 ( oona striped )	 ( oona spotted )	=
#	 ( oona pet )	 ( mouse pet )	#
=	 ( pumpkin puppy )	 ( pumpkin puppy )	=
|	 ( mertz dog )	 ( mertz kitten )	=
#	 ( oona cat )	 ( mouse cat )	#
#	 ( oona cat )	 ( pumpkin cat )	#
|	 ( abby pony )	 ( abby puppy )	=
|	 ( pumpkin kitten )	 ( pumpkin spotted )	=
#	 ( marcel dog )	 ( ollie dog )	#
#	 ( pumpkin pony )	 ( ollie pony )	#
#	 ( millie spotted )	 ( pumpkin spotted )	#
#	 ( mertz dog )	 ( mertz pet )	=
|	 ( mouse dog )	 ( mouse kitten )	=
|	 ( oona puppy )	 ( oona cat )	=
#	 ( ollie striped )	 ( mouse spotted )	#
#	 ( mouse striped )	 ( mouse pony )	=
#	 ( pumpkin striped )	 ( abby striped )	#
#	 ( millie pony )	 ( mertz pony )	#
#	 ( marcel dog )	 ( marcel striped )	=
#	 ( mouse dog )	 ( marcel dog )	#
#	 ( mouse pet )	 ( mertz pet )	#
#	 ( mouse spotted )	 ( mouse pony )	=
#	 ( millie cat )	 ( abby cat )	#
<	 ( mertz kitten )	 ( mertz cat )	=
#	 ( marcel dog )	 ( mouse dog )	#
#	 ( marcel cat )	 ( ollie cat )	#
|	 ( abby pony )	 ( abby cat )	=
|	 ( millie kitten )	 ( millie spotted )	=
#	 ( mouse spotted )	 ( mertz spotted )	#
#	 ( abby pony )	 ( pumpkin pony )	#
#	 ( mertz striped )	 ( millie striped )	#
#	 ( marcel cat )	 ( millie cat )	#
#	 ( mertz puppy )	 ( abby puppy )	#
#	 ( ollie striped )	 ( mertz spotted )	#
#	 ( ollie pet )	 ( ollie cat )	=
#	 ( abby spotted )	 ( pumpkin striped )	#
|	 ( ollie kitten )	 ( ollie dog )	=
#	 ( millie kitten )	 ( pumpkin kitten )	#
#	 ( millie pet )	 ( millie cat )	=
#	 ( mouse pet )	 ( marcel pet )	#
=	 ( abby pet )	 ( abby pet )	=
|	 ( ollie dog )	 ( ollie pony )	=
|	 ( abby kitten )	 ( abby pony )	=
#	 ( ollie striped )	 ( marcel striped )	#
#	 ( abby pony )	 ( marcel pony )	#
#	 ( abby dog )	 ( millie dog )	#
#	 ( oona cat )	 ( ollie cat )	#
#	 ( abby puppy )	 ( mouse puppy )	#
=	 ( millie kitten )	 ( millie kitten )	=
#	 ( mertz pet )	 ( mertz pony )	=
#	 ( ollie kitten )	 ( abby kitten )	#
#	 ( mertz striped )	 ( marcel spotted )	#
#	 ( marcel dog )	 ( marcel spotted )	=
>	 ( millie striped )	 ( millie kitten )	=
#	 ( abby pony )	 ( oona pony )	#
=	 ( ollie pony )	 ( ollie pony )	=
#	 ( mertz cat )	 ( millie cat )	#
#	 ( oona striped )	 ( abby striped )	#
#	 ( abby cat )	 ( millie cat )	#
#	 ( mouse striped )	 ( mertz spotted )	#
#	 ( oona spotted )	 ( oona pet )	=
#	 ( millie spotted )	 ( pumpkin striped )	#
#	 ( mertz kitten )	 ( oona kitten )	#
#	 ( abby pet )	 ( abby striped )	=
#	 ( marcel cat )	 ( abby cat )	#
#	 ( millie spotted )	 ( marcel striped )	#
#	 ( abby spotted )	 ( marcel striped )	#
#	 ( mouse cat )	 ( mouse pet )	=
#	 ( abby spotted )	 ( oona spotted )	#
#	 ( pumpkin cat )	 ( abby cat )	#
#	 ( pumpkin dog )	 ( oona dog )	#
#	 ( mertz spotted )	 ( abby spotted )	#
#	 ( oona striped )	 ( millie spotted )	#
#	 ( mouse pony )	 ( mouse spotted )	=
=	 ( marcel dog )	 ( marcel dog )	=
#	 ( marcel striped )	 ( oona striped )	#
|	 ( mertz striped )	 ( mertz puppy )	=
#	 ( mouse spotted )	 ( pumpkin striped )	#
>	 ( ollie striped )	 ( ollie kitten )	=
#	 ( abby dog )	 ( mouse dog )	#
=	 ( mouse striped )	 ( mouse striped )	=
#	 ( mouse spotted )	 ( mouse pet )	=
#	 ( millie pony )	 ( marcel pony )	#
#	 ( mertz pony )	 ( oona pony )	#
#	 ( ollie pet )	 ( ollie spotted )	=
#	 ( mouse kitten )	 ( pumpkin kitten )	#
#	 ( pumpkin striped )	 ( mouse striped )	#
#	 ( mouse pet )	 ( mouse puppy )	=
#	 ( oona spotted )	 ( mouse spotted )	#
#	 ( mertz striped )	 ( mertz cat )	=
#	 ( mertz spotted )	 ( mouse spotted )	#
#	 ( marcel pet )	 ( abby pet )	#
#	 ( mertz pet )	 ( millie pet )	#
#	 ( millie striped )	 ( millie pet )	=
#	 ( pumpkin spotted )	 ( mouse striped )	#
|	 ( ollie puppy )	 ( ollie striped )	=
|	 ( millie pony )	 ( millie puppy )	=
#	 ( oona pony )	 ( pumpkin pony )	#
|	 ( ollie kitten )	 ( ollie pony )	=
#	 ( mouse pet )	 ( oona pet )	#
#	 ( mertz pony )	 ( millie pony )	#
#	 ( mertz spotted )	 ( millie striped )	#
#	 ( millie striped )	 ( ollie striped )	#
#	 ( ollie pony )	 ( oona pony )	#
#	 ( oona cat )	 ( abby cat )	#
#	 ( pumpkin cat )	 ( mouse cat )	#
#	 ( oona striped )	 ( mertz spotted )	#
#	 ( mertz spotted )	 ( abby striped )	#
#	 ( oona pet )	 ( oona kitten )	=
#	 ( millie striped )	 ( pumpkin spotted )	#
#	 ( mouse puppy )	 ( mertz puppy )	#
#	 ( ollie pony )	 ( marcel pony )	#
=	 ( abby spotted )	 ( abby spotted )	=
#	 ( oona striped )	 ( pumpkin striped )	#
#	 ( oona kitten )	 ( oona pet )	=
#	 ( marcel pet )	 ( millie pet )	#
#	 ( mouse pony )	 ( millie pony )	#
#	 ( ollie kitten )	 ( pumpkin kitten )	#
#	 ( oona pony )	 ( mouse pony )	#
#	 ( marcel pony )	 ( pumpkin pony )	#
#	 ( mertz puppy )	 ( mouse puppy )	#
#	 ( ollie spotted )	 ( pumpkin striped )	#
#	 ( mertz pet )	 ( mertz cat )	=
#	 ( mertz pet )	 ( pumpkin pet )	#
#	 ( pumpkin dog )	 ( mertz dog )	#
#	 ( oona pony )	 ( ollie pony )	#
|	 ( oona pony )	 ( oona puppy )	=
#	 ( millie kitten )	 ( abby kitten )	#
=	 ( oona puppy )	 ( oona puppy )	=
#	 ( marcel striped )	 ( marcel dog )	=
#	 ( ollie striped )	 ( millie striped )	#
#	 ( ollie spotted )	 ( millie striped )	#
#	 ( mertz striped )	 ( mertz pony )	=
#	 ( mouse spotted )	 ( abby striped )	#
#	 ( mouse pet )	 ( mouse cat )	=
#	 ( millie dog )	 ( abby dog )	#
#	 ( millie pony )	 ( mouse pony )	#
#	 ( pumpkin pony )	 ( pumpkin striped )	=
#	 ( abby pony )	 ( abby pet )	=
#	 ( mouse spotted )	 ( oona spotted )	#
#	 ( pumpkin spotted )	 ( ollie striped )	#
#	 ( mouse dog )	 ( abby dog )	#
#	 ( oona pet )	 ( marcel pet )	#
#	 ( marcel spotted )	 ( pumpkin striped )	#
=	 ( ollie kitten )	 ( ollie kitten )	=
=	 ( marcel pet )	 ( marcel pet )	=
#	 ( abby spotted )	 ( millie spotted )	#
#	 ( ollie pony )	 ( pumpkin pony )	#
#	 ( mertz striped )	 ( abby striped )	#
#	 ( mouse spotted )	 ( mertz striped )	#
#	 ( mouse cat )	 ( abby cat )	#
#	 ( mertz dog )	 ( mouse dog )	#
#	 ( abby puppy )	 ( marcel puppy )	#
#	 ( marcel spotted )	 ( pumpkin spotted )	#
#	 ( marcel striped )	 ( ollie striped )	#
#	 ( millie spotted )	 ( millie cat )	=
#	 ( oona spotted )	 ( mertz striped )	#
>	 ( marcel striped )	 ( marcel kitten )	=
#	 ( marcel pet )	 ( marcel cat )	=
#	 ( mouse striped )	 ( oona striped )	#
#	 ( millie spotted )	 ( ollie spotted )	#
#	 ( oona striped )	 ( ollie spotted )	#
#	 ( mertz spotted )	 ( oona spotted )	#
#	 ( marcel pet )	 ( mertz pet )	#
|	 ( millie dog )	 ( millie cat )	=
#	 ( abby pet )	 ( millie pet )	#
|	 ( pumpkin spotted )	 ( pumpkin kitten )	=
#	 ( mertz spotted )	 ( ollie spotted )	#
#	 ( millie spotted )	 ( millie pony )	=
#	 ( millie pet )	 ( ollie pet )	#
#	 ( abby pet )	 ( marcel pet )	#
#	 ( ollie kitten )	 ( millie kitten )	#
#	 ( marcel pony )	 ( mertz pony )	#
#	 ( oona spotted )	 ( mouse striped )	#
#	 ( mertz puppy )	 ( ollie puppy )	#
#	 ( millie puppy )	 ( mertz puppy )	#
#	 ( marcel striped )	 ( abby spotted )	#
#	 ( millie kitten )	 ( mertz kitten )	#
#	 ( marcel striped )	 ( pumpkin spotted )	#
#	 ( millie pet )	 ( marcel pet )	#
|	 ( marcel striped )	 ( marcel puppy )	=
#	 ( marcel pony )	 ( abby pony )	#
#	 ( ollie puppy )	 ( oona puppy )	#
#	 ( oona pet )	 ( oona pony )	=
#	 ( oona spotted )	 ( oona cat )	=
#	 ( mertz cat )	 ( mertz spotted )	=
|	 ( mertz dog )	 ( mertz pony )	=
#	 ( abby spotted )	 ( abby pet )	=
#	 ( abby kitten )	 ( oona kitten )	#
|	 ( mertz cat )	 ( mertz puppy )	=
#	 ( pumpkin spotted )	 ( oona spotted )	#
#	 ( abby striped )	 ( marcel spotted )	#
#	 ( oona pet )	 ( mertz pet )	#
#	 ( oona spotted )	 ( ollie striped )	#
#	 ( mouse puppy )	 ( abby puppy )	#
#	 ( mertz dog )	 ( pumpkin dog )	#
#	 ( marcel cat )	 ( pumpkin cat )	#
#	 ( abby striped )	 ( millie striped )	#
#	 ( abby spotted )	 ( mouse striped )	#
=	 ( ollie cat )	 ( ollie cat )	=
#	 ( mertz striped )	 ( marcel striped )	#
#	 ( millie pet )	 ( millie puppy )	=
#	 ( mertz puppy )	 ( millie puppy )	#
#	 ( abby pet )	 ( mertz pet )	#
#	 ( mouse striped )	 ( ollie spotted )	#
#	 ( oona kitten )	 ( mertz kitten )	#
#	 ( mertz dog )	 ( ollie dog )	#
>	 ( marcel dog )	 ( marcel puppy )	=
#	 ( mouse spotted )	 ( ollie striped )	#
#	 ( millie dog )	 ( millie spotted )	=
#	 ( marcel puppy )	 ( ollie puppy )	#
#	 ( ollie pet )	 ( ollie dog )	=
#	 ( abby striped )	 ( mertz striped )	#
#	 ( mertz spotted )	 ( mouse striped )	#
#	 ( abby striped )	 ( ollie striped )	#
|	 ( ollie cat )	 ( ollie puppy )	=
=	 ( mouse puppy )	 ( mouse puppy )	=
#	 ( mertz striped )	 ( pumpkin spotted )	#
#	 ( oona pony )	 ( marcel pony )	#
#	 ( ollie spotted )	 ( marcel spotted )	#
#	 ( marcel kitten )	 ( ollie kitten )	#
#	 ( ollie spotted )	 ( pumpkin spotted )	#
#	 ( mertz pony )	 ( ollie pony )	#
#	 ( pumpkin spotted )	 ( mouse spotted )	#
#	 ( abby kitten )	 ( marcel kitten )	#
#	 ( pumpkin dog )	 ( mouse dog )	#
#	 ( oona striped )	 ( mouse spotted )	#
#	 ( pumpkin pet )	 ( pumpkin dog )	=
#	 ( pumpkin kitten )	 ( ollie kitten )	#
#	 ( oona striped )	 ( marcel striped )	#
#	 ( millie striped )	 ( marcel spotted )	#
#	 ( abby striped )	 ( mertz spotted )	#
#	 ( oona spotted )	 ( millie striped )	#
#	 ( mertz puppy )	 ( marcel puppy )	#
#	 ( millie striped )	 ( pumpkin striped )	#
#	 ( mertz dog )	 ( millie dog )	#
#	 ( marcel spotted )	 ( oona spotted )	#
#	 ( oona spotted )	 ( abby spotted )	#
#	 ( marcel puppy )	 ( marcel pet )	=
#	 ( pumpkin striped )	 ( mertz spotted )	#
#	 ( abby pet )	 ( mouse pet )	#
#	 ( ollie spotted )	 ( oona striped )	#
#	 ( oona puppy )	 ( ollie puppy )	#
<	 ( abby kitten )	 ( abby striped )	=
#	 ( mouse cat )	 ( marcel cat )	#
#	 ( abby pony )	 ( mertz pony )	#
#	 ( millie puppy )	 ( pumpkin puppy )	#
#	 ( marcel pony )	 ( mouse pony )	#
#	 ( ollie pony )	 ( mouse pony )	#
#	 ( millie spotted )	 ( oona spotted )	#
#	 ( abby cat )	 ( mertz cat )	#
#	 ( millie pony )	 ( pumpkin pony )	#
#	 ( mouse cat )	 ( pumpkin cat )	#
#	 ( mouse pony )	 ( abby pony )	#
#	 ( abby dog )	 ( pumpkin dog )	#
