%entailment_judgment	sentence_A	sentence_B	relatedness_score	pair_ID
NEUTRAL	( ( An onion ) ( is ( being ( sliced ( by ( a woman ) ) ) ) ) )	( ( The woman ) ( is ( cutting ( a carrot ) ) ) )	2.4	2932
CONTRADICTION	( ( A man ) ( is ( ( slicing ( a potato ) ) ( into pieces ) ) ) )	( ( A man ) ( ( is not ) ( cutting ( a potato ) ) ) )	4	4831
NEUTRAL	( ( An officer ) ( is ( talking ( to ( the recruits ) ) ) ) )	( Recruits ( are ( talking ( to ( an officer ) ) ) ) )	3.7	4934
ENTAILMENT	( ( A man ) ( is ( playing ( a guitar ) ) ) )	( ( A man ) ( is ( strumming ( a guitar ) ) ) )	4.9	1495
NEUTRAL	( ( A ( young ( , ( topless woman ) ) ) ) ( is ( covered ( in paint ) ) ) )	( ( Some instruments ) ( are ( being ( played ( by ( a band ) ) ) ) ) )	1	9838
NEUTRAL	( ( A flute ) ( is ( being ( played ( by ( a man ) ) ) ) ) )	( ( The adult ) ( is ( playing ( ( the guitar ) loudly ) ) ) )	2.4	1807
NEUTRAL	( ( A man ) ( is spitting ) )	( ( A man ) ( is ( talking ( on ( the radio ) ) ) ) )	1.7	1443
ENTAILMENT	( Garlic ( is ( being ( chopped ( by ( a woman ) ) ) ) ) )	( ( A woman ) ( is ( chopping garlic ) ) )	4.7	4963
NEUTRAL	( ( The woman ) ( is ( holding ( a ( whole tomato ) ) ) ) )	( Someone ( is ( cutting ( a tomato ) ) ) )	3.5	2402
ENTAILMENT	( ( ( A group ) ( of people ) ) ( is singing ) )	( ( Some people ) ( are singing ) )	4.7	2476
NEUTRAL	( ( A woman ) ( is ( ( pouring ingredients ) ( into ( a bowl ) ) ) ) )	( ( The chef ) ( is ( seasoning ( the oil ) ) ) )	3.1	5909
NEUTRAL	( There ( is ( ( no ( brown ( dog standing ) ) ) ( in ( the water ) ) ) ) )	( ( ( A dog ) ( with ( golden fur ) ) ) ( is ( in ( the water ) ) ) )	2.8	6001
CONTRADICTION	( ( A woman ) ( is ( playing ( a flute ) ) ) )	( ( The woman ) ( ( is not ) ( playing ( the flute ) ) ) )	3.2	2886
NEUTRAL	( ( Two teams ) ( are ( competing ( in ( a ( football match ) ) ) ) ) )	( ( A player ) ( is ( throwing ( the ball ) ) ) )	2.9	116
NEUTRAL	( ( A woman ) ( is ( playing ( the flute ) ) ) )	( ( A man ) ( is ( playing ( a flute ) ) ) )	3.7	5461
NEUTRAL	( ( A woman ) ( is ( tapping ( her fingers ) ) ) )	( ( A woman ) ( is ( ( resting ( her fingers ) ) ( on ( a table ) ) ) ) )	3.1	2231
NEUTRAL	( ( A monkey ) ( is ( ( teasing ( a dog ) ) ( at ( the zoo ) ) ) ) )	( ( A monkey ) ( is ( pulling ( ( a ( dog 's ) ) tail ) ) ) )	4.4	4814
NEUTRAL	( ( A man ) ( is ( doing pull-ups ) ) )	( ( The man ) ( is ( doing ( exercises ( in ( a gym ) ) ) ) ) )	4	4891
NEUTRAL	( ( A woman ) ( is exercising ) )	( ( A person ) ( is dancing ) )	3	4866
CONTRADICTION	( There ( is ( ( no man ) ( eating food ) ) ) )	( ( A man ) ( is ( eating ( a pizza ) ) ) )	3.2	4114
NEUTRAL	( ( A woman ) ( is ( buttering ( ( a piece ) ( of bread ) ) ) ) )	( ( A man ) ( is ( buttering ( ( a piece ) ( of bread ) ) ) ) )	3.5	5148
ENTAILMENT	( ( A skateboarder ) ( is ( ( jumping off ) ( a ramp ) ) ) )	( ( A skateboarder ) ( is ( ( making ( a jump ) ) ( off ( a ramp ) ) ) ) )	4.8	8678
ENTAILMENT	( ( One man ) ( is ( ( running down ) ( the road ) ) ) )	( ( A man ) ( is running ) )	4.4	2430
CONTRADICTION	( There ( is ( ( no girl ) ( playing ( a flute ) ) ) ) )	( ( A girl ) ( is ( playing ( a flute ) ) ) )	3.6	5310
NEUTRAL	( ( The men ) ( are talking ) )	( ( Some ( old women ) ) ( are talking ) )	3	4429
NEUTRAL	( ( A ( young girl ) ) ( is ( standing ( on ( one leg ) ) ) ) )	( ( A ( young female ) ) ( is dancing ) )	3.3	6590
NEUTRAL	( People ( are ( ( ( riding and ) paddling ) ( a raft ) ) ) )	( ( Four people ) ( are ( floating ( on ( a raft ) ) ) ) )	4.2	2527
ENTAILMENT	( ( The cat ) ( is ( playing ( passionately ( with ( a watermelon ) ) ) ) ) )	( ( The cat ) ( is ( playing ( with ( a watermelon ) ) ) ) )	4.7	2284
ENTAILMENT	( ( A ( large ( green ball ) ) ) ( is ( hitting ( a potato ) ) ) )	( ( A ( large ( green ( colored ball ) ) ) ) ( is ( hitting ( a potato ) ) ) )	4.8	2967
CONTRADICTION	( ( The man ) ( is drawing ) )	( There ( is ( no ( man drawing ) ) ) )	3.4	4330
ENTAILMENT	( ( A woman ) ( is ( slicing ( an octopus ) ) ) )	( ( An octopus ) ( is ( being ( sliced ( by ( a woman ) ) ) ) ) )	5	5374
NEUTRAL	( ( A woman ) ( is ( combing ( her hair ) ) ) )	( ( A woman ) ( is ( arranging ( her hair ) ) ) )	4.1	1177
ENTAILMENT	( ( A woman ) ( is ( cutting ( a lemon ) ) ) )	( ( A woman ) ( is ( cutting fruit ) ) )	4.2	5498
NEUTRAL	( ( A woman ) ( is ( ( chopping up ) garlic ) ) )	( ( A woman ) ( is ( ( putting away ) ( the garlic ) ) ) )	3.6	3505
NEUTRAL	( ( A man ) ( is ( praying fervently ) ) )	( ( A man ) ( is dancing ) )	1.7	4196
ENTAILMENT	( ( The woman ) ( is ( slicing ( cooked octopus ) ) ) )	( ( A woman ) ( is ( ( chopping up ) ( an octopus ) ) ) )	4.4	4288
NEUTRAL	( ( Some women ) ( are ( ( dancing and ) singing ) ) )	( ( A woman ) ( is ( ( ( dancing and ) singing ) ( in ( the rain ) ) ) ) )	3.8	1237
CONTRADICTION	( There ( is ( ( no woman ) ( putting ( meat ( in ( a pan ) ) ) ) ) ) )	( ( A woman ) ( is ( putting ( meat ( in ( a pan ) ) ) ) ) )	3.4	3625
ENTAILMENT	( ( A band ) ( is ( playing ( some instruments ) ) ) )	( ( Some instruments ) ( are ( being ( played ( by ( a band ) ) ) ) ) )	5	4851
NEUTRAL	( ( A man ) ( is ( playing ( an ( acoustic guitar ) ) ) ) )	( ( The woman ) ( ( is not ) ( playing ( an ( electric guitar ) ) ) ) )	3	2738
NEUTRAL	( There ( is ( ( no cat ) ( ( eating corn ) ( on ( the cob ) ) ) ) ) )	( ( A cat ) ( is ( eating ( some corn ) ) ) )	2.5	2535
NEUTRAL	( ( A monkey ) ( is ( kicking ( at ( ( a ( person 's ) ) glove ) ) ) ) )	( ( The monkey ) ( is ( practicing ( martial arts ) ) ) )	3.6	3143
NEUTRAL	( ( ( ( A man ) and ) ( a woman ) ) ( are ( eating happily ) ) )	( ( A ( ( man and ) woman ) ) ( are talking ) )	2.6	2766
NEUTRAL	( ( A man ) ( is ( playing flute ) ) )	( ( A man ) ( is ( ( playing ( a game ) ) ( with ( a ball ) ) ) ) )	1.5	1302
ENTAILMENT	( ( The meat ) ( is ( being ( dropped ( into ( a pan ) ) ) ) ) )	( Someone ( is ( ( dropping ( the meat ) ) ( into ( a pan ) ) ) ) )	4.7	3626
NEUTRAL	( ( ( A ( man 's ) ) ( white car ) ) ( is ( being ( driven away ) ) ) )	( ( The man ) ( is ( granting ( an interview ) ) ) )	1.1	2096
NEUTRAL	( ( A baby ) ( is ( playing ( with ( a doll ) ) ) ) )	( ( A ( tiger cub ) ) ( is ( playing ( with ( a ball ) ) ) ) )	1.4	5745
NEUTRAL	( ( A person ) ( is ( slicing ( an onion ) ) ) )	( ( A person ) ( is ( cutting ( some ginger ) ) ) )	3	4823
CONTRADICTION	( ( The man ) ( is ( denying ( an interview ) ) ) )	( ( The man ) ( is ( granting ( an interview ) ) ) )	3.2	2089
NEUTRAL	( ( Four children ) ( are ( doing ( backbends ( in ( the gym ) ) ) ) ) )	( ( Four girls ) ( are ( ( ( doing backbends ) and ) ( playing outdoors ) ) ) )	3.8	105
CONTRADICTION	( ( The puppy ) ( is ( playing ( with ( a ( plastic container ) ) ) ) ) )	( ( The puppy ) ( ( is not ) ( playing ( with ( a ( plastic container ) ) ) ) ) )	3.2	3036
NEUTRAL	( ( A person ) ( is ( ( cutting ( an onion ) ) ( into pieces ) ) ) )	( ( A person ) ( is ( ( slicing ( a carrot ) ) ( into pieces ) ) ) )	3.4	2385
CONTRADICTION	( ( A man ) ( is ( opening ( a door ) ) ) )	( There ( is ( ( no man ) ( opening ( a door ) ) ) ) )	3.6	5051
NEUTRAL	( ( A person ) ( is ( standing ( near ( a motorcycle ) ) ) ) )	( ( A person ) ( is ( chopping ( an onion ) ) ) )	1.2	1390
NEUTRAL	( ( A ( blond girl ) ) ( is ( looking ( at ( the waves ) ) ) ) )	( ( A lady ) ( is ( ( ( surfing and ) riding ) ( a wave ) ) ) )	3.3	450
NEUTRAL	( ( A woman ) ( is ( ( resting ( her fingers ) ) ( on ( a table ) ) ) ) )	( ( A woman ) ( is ( ( tapping ( her fingers ) ) ( on ( a table ) ) ) ) )	4.1	2229
NEUTRAL	( ( An onion ) ( is ( being ( sliced ( by ( a woman ) ) ) ) ) )	( ( The woman ) ( is ( cutting ( a carrot ) ) ) )	2.4	2932
NEUTRAL	( There ( ( is ( no one ) ) ( playing ( a piano ) ) ) )	( ( A man ) ( is ( playing ( a guitar ) ) ) )	2.7	4376
